description,variable,unit,lower,median,upper,distribution,subsystem,,version
,K_yield_rye,percent,0,,0,const,crop,yes,
Winter barley,N_yield_winter_barley,kg N / FM dt,1.72,1.72,1.72,const,crop,no,
,P_yield_winter_barley,kg P / FM dt,0.35,0.35,0.35,const,crop,no,
,K_yield_winter_barley,percent,0,,0,const,crop,yes,
Summer barley,N_yield_summer_barley,kg N / FM dt,1.72,1.72,1.72,const,crop,no,
,P_yield_summer_barley,kg P / FM dt,0.35,0.35,0.35,const,crop,no,
,K_yield_summer_barley,percent,0,,0,const,crop,yes,
Oat,N_yield_oat,kg N / FM dt,1.58,1.58,1.58,const,crop,no,
,P_yield_oat,kg P / FM dt,0.35,0.35,0.35,const,crop,no,
,K_yield_oat,percent,0,,0,const,crop,yes,
Triticale,N_yield_triticale,kg N / FM dt,1.72,1.72,1.72,const,crop,no,
,P_yield_triticale,kg P / FM dt,0.35,0.35,0.35,const,crop,no,
,K_yield_triticale,percent,0,,0,const,crop,yes,
Corn,N_yield_corn,kg N / FM dt,1.45,1.45,1.45,const,crop,no,
,P_yield_corn,kg P / FM dt,0.35,0.35,0.35,const,crop,no,
,K_yield_corn,percent,0,,0,const,crop,yes,
Fodder peas,N_yield_fodder_peas,kg N / FM dt,3.6,3.6,3.6,const,crop,no,
,P_yield_fodder_peas,kg P / FM dt,0.48,0.48,0.48,const,crop,no,
,K_yield_fodder_peas,share,0,,0,const,crop,yes,
Beans,N_yield_beans,kg N / FM dt,4.1,4.1,4.1,const,crop,no,
,P_yield_beans,kg P / FM dt,0.52,0.52,0.52,const,crop,no,
,K_yield_beans,share,0,,0,const,crop,yes,
Oilseed rape,N_yield_oilseed_rape,kg N / FM dt,3.35,3.35,3.35,const,crop,no,
,P_yield_oilseed_rape,kg P / FM dt,0.78,0.78,0.78,const,crop,no,
,K_yield_oilseed_rape,share,0,,0,const,crop,yes,
Potato,N_yield_potato,kg N / FM dt,0.35,0.35,0.35,const,crop,no,
,P_yield_potato,kg P / FM dt,0.07,0.07,0.07,const,crop,no,
,K_yield_potato,share,0,,0,const,crop,yes,
Sugar beet,N_yield_sugar_beet,kg N / FM dt,0.18,0.18,0.18,const,crop,no,
,P_yield_sugar_beet,kg P / FM dt,0.04,0.04,0.04,const,crop,no,
,K_yield_sugar_beet,share,0,,0,const,crop,yes,
Mais silage,N_yield_mais_silage,kg N / FM dt,0.8,0.8,0.8,const,crop,no,
,P_yield_mais_silage,kg P / FM dt,0.07,0.07,0.07,const,crop,no,
,K_yield_mais_silage,share,0,,0,const,crop,yes,
Winter wheat,N_leftover_winter_wheat,kg N / FM dt,0.5,0.5,0.5,const,crop,no,
,P_leftover_winter_wheat,kg P / FM dt,0.13,0.13,0.13,const,crop,no,
,K_leftover_winter_wheat,kg K / FM dt,1.16,1.16,1.16,const,crop,no,
Summer wheat,N_leftover_summer_wheat,kg N / FM dt,0.5,0.5,0.5,const,crop,no,
,P_leftover_summer_wheat,kg P / FM dt,0.13,0.13,0.13,const,crop,no,
,K_leftover_summer_wheat,kg K / FM dt,1.16,1.16,1.16,const,crop,no,
Rye,N_leftover_rye,kg N / FM dt,0.5,0.5,0.5,const,crop,no,
,P_leftover_rye,kg P / FM dt,0.13,0.13,0.13,const,crop,no,
,K_leftover_rye,kg K / FM dt,1.16,1.16,1.16,const,crop,no,
Winter barley,N_leftover_winter_barley,kg N / FM dt,0.5,0.5,0.5,const,crop,no,
,P_leftover_winter_barley,kg P / FM dt,0.13,0.13,0.13,const,crop,no,
,K_leftover_winter_barley,kg K / FM dt,1.41,1.41,1.41,const,crop,no,
Summer barley,N_leftover_summer_barley,kg N / FM dt,0.5,0.5,0.5,const,crop,no,
,P_leftover_summer_barley,kg P / FM dt,0.13,0.13,0.13,const,crop,no,
,K_leftover_summer_barley,kg K / FM dt,1.41,1.41,1.41,const,crop,no,
Oat,N_leftover_oat,kg N / FM dt,0.5,0.5,0.5,const,crop,no,
,P_leftover_oat,kg P / FM dt,0.13,0.13,0.13,const,crop,no,
,K_leftover_oat,kg K / FM dt,1.41,1.41,1.41,const,crop,no,
Triticale,N_leftover_triticale,kg N / FM dt,0.5,0.5,0.5,const,crop,no,
,P_leftover_triticale,kg P / FM dt,0.13,0.13,0.13,const,crop,no,
,K_leftover_triticale,kg K / FM dt,1.41,1.41,1.41,const,crop,no,
Corn,N_leftover_corn,kg N / FM dt,0.9,0.9,0.9,const,crop,no,
,P_leftover_corn,kg P / FM dt,0.09,0.09,0.09,const,crop,no,
,K_leftover_corn,kg K / FM dt,0.21,0.21,0.21,const,crop,no,
Fodder peas,N_leftover_foder_peas,kg N / FM dt,1.5,1.5,1.5,const,crop,no,
,P_leftover_foder_peas,kg P / FM dt,0.13,0.13,0.13,const,crop,no,
,K_leftover_foder_peas,kg K / FM dt,2.16,2.16,2.16,const,crop,no,
Beans,N_leftover_beans,kg N / FM dt,1.5,1.5,1.5,const,crop,no,
,P_leftover_beans,kg P / FM dt,0.13,0.13,0.13,const,crop,no,
,K_leftover_beans,kg K / FM dt,2.16,2.16,2.16,const,crop,no,
Oilseed rape,N_leftover_oilseed_rape,kg N / FM dt,0.7,0.7,0.7,const,crop,no,
,P_leftover_oilseed_rape,kg P / FM dt,0.17,0.17,0.17,const,crop,no,
,K_leftover_oilseed_rape,kg K / FM dt,2.08,2.08,2.08,const,crop,no,
Potato,N_leftover_potato,kg N / FM dt,0.2,0.2,0.2,const,crop,no,
,P_leftover_potato,kg P / FM dt,0.02,0.02,0.02,const,crop,no,
,K_leftover_potato,kg K / FM dt,0.3,0.3,0.3,const,crop,no,
Sugar beet,N_leftover_sugar_beet,kg N / FM dt,0.4,0.4,0.4,const,crop,no,
,P_leftover_sugar_beet,kg P / FM dt,0.05,0.05,0.05,const,crop,no,
,K_leftover_sugar_beet,kg K / FM dt,0.5,0.5,0.5,const,crop,no,
Mais silage,N_leftover_mais_silage,kg N / FM dt,0,0,0,const,crop,no,
,P_leftover_mais_silage,kg P / FM dt,0,0,0,const,crop,no,
,K_leftover_mais_silage,kg K / FM dt,0,0,0,const,crop,no,
Winter wheat,yield_share_winter_wheat,kg yield / FM dt,0.444444444,0.444444444,0.444444444,const,crop,no,
Summer wheat,yield_share_summer_wheat,kg yield / FM dt,0.444444444,0.444444444,0.444444444,const,crop,no,
Rye,yield_share_rye,kg yield / FM dt,0.473684211,0.473684211,0.473684211,const,crop,no,
Winter barley,yield_share_winter_barley,kg yield / FM dt,0.411764706,0.411764706,0.411764706,const,crop,no,
Summer barley,yield_share_summer_barley,kg yield / FM dt,0.444444444,0.444444444,0.444444444,const,crop,no,
Oat,yield_share_oat,kg yield / FM dt,0.523809524,0.523809524,0.523809524,const,crop,no,
Triticale,yield_share_triticale,kg yield / FM dt,0.473684211,0.473684211,0.473684211,const,crop,no,
Corn,yield_share_corn,kg yield / FM dt,0.5,0.5,0.5,const,crop,no,
Fodder peas,yield_share_fodder_peas,kg yield / FM dt,0.5,0.5,0.5,const,crop,no,
Beans,yield_share_beans,kg yield / FM dt,0.5,0.5,0.5,const,crop,no,
Oilseed rape,yield_share_oilseed_rape,kg yield / FM dt,0.62962963,0.62962963,0.62962963,const,crop,no,
Potato,yield_share_potato,kg yield / FM dt,0.166666667,0.166666667,0.166666667,const,crop,no,
Sugar beet,yield_share_sugar_beet,kg yield / FM dt,0.411764706,0.411764706,0.411764706,const,crop,no,
Mais silage,yield_share_mais_silage,kg yield / FM dt,1,1,1,const,crop,no,
share of straw harvested and used for animal bedding of cereals,straw_share,kg straw / FM dt,0.33,0.33,0.33,const,crop,no,
Winter wheat,winter_wheat_to_animal,kg winter / FM dt,0,0,0,const,crop,no,
Summer wheat,summer_wheat_to_animal,kg summer / FM dt,0,0,0,const,crop,no,
Rye,rye_to_animal,kg rye / FM dt,1,1,1,const,crop,no,
Winter barley,winter_barley_to_animal,kg winter / FM dt,1,1,1,const,crop,no,
Summer barley,summer_barley_to_animal,kg summer / FM dt,0.5,0.5,0.5,const,crop,no,
Common oat,oat_to_animal,kg oat / FM dt,0.5,0.5,0.5,const,crop,no,
Triticale,triticale_to_animal,kg triticale / FM dt,1,1,1,const,crop,no,
Corn,corn_to_animal,kg corn / FM dt,0,0,0,const,crop,no,
Fodder peas,fodder_peas_to_animal,kg fodder / FM dt,1,1,1,const,crop,no,
Beans,beans_to_animal,kg beans / FM dt,1,1,1,const,crop,no,
Oilseed rape,oilseed_rape_to_animal,kg oilseed / FM dt,0.5,0.5,0.5,const,crop,no,
Potato,potato_to_animal,kg potato / FM dt,0.25,0.25,0.25,const,crop,no,
Sugar beet,sugar_beet_to_animal,kg sugar / FM dt,0.5,0.5,0.5,const,crop,no,
Mais silage,mais_silage_to_animal,kg mais / FM dt,0.75,0.75,0.75,const,crop,no,
Winter wheat,winter_wheat_to_consumption,kg winter / FM dt,1,1,1,const,crop,no,
Summer wheat,summer_wheat_to_consumption,kg summer / FM dt,1,1,1,const,crop,no,
Rye,rye_to_consumption,kg rye / FM dt,0,0,0,const,crop,no,
Winter barley,winter_barley_to_consumption,kg winter / FM dt,0,0,0,const,crop,no,
Summer barley,summer_barley_to_consumption,kg summer / FM dt,0.5,0.5,0.5,const,crop,no,
Common oat,oat_to_consumption,kg oat / FM dt,0.5,0.5,0.5,const,crop,no,
Triticale,triticale_to_consumption,kg triticale / FM dt,0,0,0,const,crop,no,
Corn,corn_to_consumption,kg corn / FM dt,1,1,1,const,crop,no,
Fodder peas,fodder_peas_to_consumption,kg fodder / FM dt,0,0,0,const,crop,no,
Beans,beans_to_consumption,kg beans / FM dt,0,0,0,const,crop,no,
Oilseed rape,oilseed_rape_to_consumption,kg oilseed / FM dt,0.5,0.5,0.5,const,crop,no,
Potato,potato_to_ponsumption,kg potato / FM dt,0.75,0.75,0.75,const,crop,no,
Sugar beet,sugar_beet_to_sunsumption,kg sugar / FM dt,0.5,0.5,0.5,const,crop,no,
Mais silage,mais_silage_to_consumption,kg mais / FM dt,0,0,0,const,crop,no,
,mais_silage_to_biogas,kg mais / FM dt,0.25,0.25,0.25,const,crop,no,
,area_grassland,kg area / FM dt,21254,"21,254",21254,const,crop,no,
share of grazzland grazed; mowing is 1- the value,share_grazing,kg share / FM dt,0.5,0.5,0.5,const,crop,no,
"grazing, N harvested kg/ha",N_yield_grazing,kg N / FM dt,130,130,130,const,crop,no,
"silage mowing (max 20% hay), N harvested kg/ha",N_yield_mowing,kg N / FM dt,245,245,245,const,crop,no,
,P_yield_mowing,kg P2O5 / FM dt,90,90,90,const,crop,no,
,K_yield_mowing,kg K2O / FM dt,270,270,270,const,crop,no,
,share_N_biogas_input_animal,share,0.38,0.38,0.38,const,crop,,
,share_P_biogas_input_animal,share,0,0,0,const,crop,,
,share_K_biogas_input_animal,share,0,0,0,const,crop,,
sweet_corn,land_sweet_corn_ha,kg land / FM dt,15,15,15,const,crop,no,
veggie_peas,land_veggie_peas_ha,kg land / FM dt,590,590,590,const,crop,no,
cabbage,land_cabbage_ha,kg land / FM dt,200,200,200,const,crop,no,
arugula,land_arugula_ha,kg land / FM dt,50,50,50,const,crop,no,
pumpkin,land_pumpkin_ha,kg land / FM dt,90,90,90,const,crop,no,
onion,land_onion_ha,kg land / FM dt,160,160,160,const,crop,no,
carrot,land_carrot_ha,kg land / FM dt,340,340,340,const,crop,no,
green_bean,land_green_bean_ha,kg land / FM dt,155,155,155,const,crop,no,
lambs_lettuce,land_lambs_lettuce_ha,kg land / FM dt,100,100,100,const,crop,no,
lettuce,land_lettuce_ha,kg land / FM dt,320,320,320,const,crop,no,
spinash,land_spinash_ha,kg land / FM dt,40,40,40,const,crop,no,
radishes,land_radishes_ha,kg land / FM dt,40,40,40,const,crop,no,
celery,land_celery_ha,kg land / FM dt,105,105,105,const,crop,no,
parsley,land_parsley_ha,kg land / FM dt,25,25,25,const,crop,no,
strawberry,land_strawberry_ha,kg land / FM dt,55,55,55,const,crop,no,
apple,land_apple_ha,kg land / FM dt,50,50,50,const,crop,no,
stone_fruit,land_stone_fruit_ha,kg land / FM dt,20,20,20,const,crop,no,
berries,land_berries_ha,kg land / FM dt,135,135,135,const,crop,no,
rhubarb,land_rhubarb_ha,kg land / FM dt,10,10,10,const,crop,no,
asparagus,land_asparagus_ha,kg land / FM dt,290,290,290,const,crop,no,
horticultural area,land_horticulture_ha,kg land / FM dt,2790,2790,2790,const,crop,no,
sweet_corn,yield_sweet_corn_dt_ha,kg yield / FM dt,93.9,93.9,93.9,const,crop,no,
veggie_peas,yield_veggie_peas_dt_ha,kg yield / FM dt,63.2,63.2,63.2,const,crop,no,
cabbage,yield_cabbage_dt_ha,kg yield / FM dt,705.3,705.3,705.3,const,crop,no,
arugula,yield_arugula_dt_ha,kg yield / FM dt,138.9,138.9,138.9,const,crop,no,
pumpkin,yield_pumpkin_dt_ha,kg yield / FM dt,360.4,360.4,360.4,const,crop,no,
onion,yield_onion_dt_ha,kg yield / FM dt,515.3,515.3,515.3,const,crop,no,
carrot,yield_carrot_dt_ha,kg yield / FM dt,598.9,598.9,598.9,const,crop,no,
green_bean,yield_green_bean_dt_ha,kg yield / FM dt,117.8,117.8,117.8,const,crop,no,
lambs_lettuce,yield_lambs_lettuce_dt_ha,kg yield / FM dt,112.1,112.1,112.1,const,crop,no,
lettuce,yield_lettuce_dt_ha,kg yield / FM dt,354.4,354.4,354.4,const,crop,no,
spinash,yield_spinash_dt_ha,kg yield / FM dt,226.8,226.8,226.8,const,crop,no,
radishes,yield_radishes_dt_ha,kg yield / FM dt,519.8,519.8,519.8,const,crop,no,
celery,yield_celery_dt_ha,kg yield / FM dt,438.8,438.8,438.8,const,crop,no,
parsley,yield_parsley_dt_ha,kg yield / FM dt,21,21,21,const,crop,no,
strawberry,yield_strawberry_dt_ha,kg yield / FM dt,97,97,97,const,crop,no,
apple,yield_apple_dt_ha,kg yield / FM dt,255,255,255,const,crop,no,
stone_fruit,yield_stone_fruit_dt_ha,kg yield / FM dt,97,97,97,const,crop,no,
berries,yield_berries_dt_ha,kg yield / FM dt,125,125,125,const,crop,no,
rhubarb,yield_rhubarb_dt_ha,kg yield / FM dt,276.4,276.4,276.4,const,crop,no,
asparagus,yield_asparagus_dt_ha,kg yield / FM dt,28.8,28.8,28.8,const,crop,no,
sweet_corn,N_content_sweet_corn_gr_100gr,g N / 100 gram product,0.52,0.52,0.52,const,crop,no,
,P_content_sweet_corn_gr_100gr,mg P / 100 g product,83,83,83,const,crop,no,
,K_content_sweet_corn_gr_100gr,mg K / 100 g product,289,289,289,const,crop,no,
veggie_peas,N_content_veggie_peas_gr_100gr,g N / 100 gram product,1.05,1.05,1.05,const,crop,no,
,P_content_veggie_peas_gr_100gr,mg P / 100 g product,118,118,118,const,crop,no,
,K_content_veggie_peas_gr_100gr,mg K / 100 g product,252,252,252,const,crop,no,
cabbage,N_content_cabbage_gr_100gr,g N / 100 gram product,0.22,0.22,0.22,const,crop,no,
,P_content_cabbage_gr_100gr,mg P / 100 g product,36,36,36,const,crop,no,
,K_content_cabbage_gr_100gr,mg K / 100 g product,269,269,269,const,crop,no,
arugula,N_content_arugula_gr_100gr,g N / 100 gram product,0.42,0.42,0.42,const,crop,no,
,P_content_arugula_gr_100gr,mg P / 100 g product,0,0,0,const,crop,no,
,K_content_arugula_gr_100gr,mg K / 100 g product,369,369,369,const,crop,no,
pumpkin,N_content_pumpkin_gr_100gr,g N / 100 gram product,0.18,0.18,0.18,const,crop,no,
,P_content_pumpkin_gr_100gr,mg P / 100 g product,44,44,44,const,crop,no,
,K_content_pumpkin_gr_100gr,mg K / 100 g product,304,304,304,const,crop,no,
onion,N_content_onion_gr_100gr,g N / 100 gram product,0.19,0.19,0.19,const,crop,no,
,P_content_onion_gr_100gr,mg P / 100 g product,33,33,33,const,crop,no,
,K_content_onion_gr_100gr,mg K / 100 g product,162,162,162,const,crop,no,
carrot,N_content_carrot_gr_100gr,g N / 100 gram product,0.16,0.16,0.16,const,crop,no,
,P_content_carrot_gr_100gr,mg P / 100 g product,36,36,36,const,crop,no,
,K_content_carrot_gr_100gr,mg K / 100 g product,328,328,328,const,crop,no,
green_bean,N_content_green_bean_gr_100gr,g N / 100 gram product,0,,0,const,crop,no,
,P_content_green_bean_gr_100gr,mg P / 100 g product,0,,0,const,crop,no,
,K_content_green_bean_gr_100gr,mg K / 100 g product,0,,0,const,crop,no,
lambs_lettuce,N_content_lambs_lettuce_gr_100gr,g N / 100 gram product,0.29,0.29,0.29,const,crop,no,
,P_content_lambs_lettuce_gr_100gr,mg P / 100 g product,49,49,49,const,crop,no,
,K_content_lambs_lettuce_gr_100gr,mg K / 100 g product,421,421,421,const,crop,no,
lettuce,N_content_lettuce_gr_100gr,g N / 100 gram product,0.19,0.19,0.19,const,crop,no,
,P_content_lettuce_gr_100gr,mg P / 100 g product,23,23,23,const,crop,no,
,K_content_lettuce_gr_100gr,mg K / 100 g product,177,177,177,const,crop,no,
spinash,N_content_spinash_gr_100gr,g N / 100 gram product,0.45,0.45,0.45,const,crop,no,
,P_content_spinash_gr_100gr,mg P / 100 g product,46,46,46,const,crop,no,
,K_content_spinash_gr_100gr,mg K / 100 g product,554,554,554,const,crop,no,
radishes,N_content_radishes_gr_100gr,g N / 100 gram product,0.24,0.24,0.24,const,crop,no,
,P_content_radishes_gr_100gr,mg P / 100 g product,44,44,44,const,crop,no,
,K_content_radishes_gr_100gr,mg K / 100 g product,407,407,407,const,crop,no,
celery,N_content_celery_gr_100gr,g N / 100 gram product,0.19,0.19,0.19,const,crop,no,
,P_content_celery_gr_100gr,mg P / 100 g product,48,48,48,const,crop,no,
,K_content_celery_gr_100gr,mg K / 100 g product,329,329,329,const,crop,no,
parsley,N_content_parsley_gr_100gr,g N / 100 gram product,0.71,0.71,0.71,const,crop,no,
,P_content_parsley_gr_100gr,mg P / 100 g product,87,87,87,const,crop,no,
,K_content_parsley_gr_100gr,mg K / 100 g product,811,811,811,const,crop,no,
strawberry,N_content_strawberry_gr_100gr,g N / 100 gram product,0.13,0.13,0.13,const,crop,no,
,P_content_strawberry_gr_100gr,mg P / 100 g product,25,25,25,const,crop,no,
,K_content_strawberry_gr_100gr,mg K / 100 g product,164,164,164,const,crop,no,
apple,N_content_apple_gr_100gr,g N / 100 gram product,0.05,0.05,0.05,const,crop,no,
,P_content_apple_gr_100gr,mg P / 100 g product,11,11,11,const,crop,no,
,K_content_apple_gr_100gr,mg K / 100 g product,119,119,119,const,crop,no,
stone_fruit,N_content_stone_fruit_gr_100gr,g N / 100 gram product,0.1,0.1,0.1,const,crop,no,
,P_content_stone_fruit_gr_100gr,mg P / 100 g product,16,16,16,const,crop,no,
,K_content_stone_fruit_gr_100gr,mg K / 100 g product,161,161,161,const,crop,no,
berries,N_content_berries_gr_100gr,g N / 100 gram product,0.18,0.18,0.18,const,crop,no,
,P_content_berries_gr_100gr,mg P / 100 g product,27,27,27,const,crop,no,
,K_content_berries_gr_100gr,mg K / 100 g product,257,257,257,const,crop,no,
rhubarb,N_content_rhubarb_gr_100gr,g N / 100 gram product,0.1,0.1,0.1,const,crop,no,
,P_content_rhubarb_gr_100gr,mg P / 100 g product,22,22,22,const,crop,no,
,K_content_rhubarb_gr_100gr,mg K / 100 g product,287,287,287,const,crop,no,
asparagus,N_content_asparagus_gr_100gr,g N / 100 gram product,0.31,0.31,0.31,const,crop,no,
,P_content_asparagus_gr_100gr,mg P / 100 g product,44,44,44,const,crop,no,
,K_content_asparagus_gr_100gr,mg K / 100 g product,203,203,203,const,crop,no,
amount of digestate staying in Kleve,N_digestate_kg_ha,kg N / FM dt,14.1,14.1,14.1,const,crop,no,
import of inorganic fertilizer based on the ha,import_inorganic_N_kg_LF,kg per LF,112.5,112.5,112.5,const,crop,yes,2020
,import_inorganic_P2O5_kg_LF,kg per LF,0,,0,const,crop,yes,2020
,import_inorganic_K2O_t,t,450,450,450,const,crop,no,2020
taken from Nährstoffreport,import_organic_N_kg,kg import / FM dt,1250914,1250914,1250914,const,crop,no,2020
taken from Nährstoffreport,import_organic_P_kg,kg P import,373975,373975,373975,const,crop,no,2020
taken from Nährstoffreport,import_organic_K_kg,kg K import,0,0,0,const,crop,,
taken from Nährstoffreport,export_manure_N_kg,kg export / FM dt,1880420,1880420,1880420,const,crop,,
taken from Nährstoffreport,export_manure_P_kg,kg export / FM dt,0,0,0,const,crop,,
taken from Nährstoffreport,export_manure_K_kg,kg export / FM dt,0,0,0,const,crop,,
calculated from total export - animal derived export,export_other_organic_N_kg,kg export / FM dt,434788,434788,434788,const,crop,,
calculated from total export - animal derived export,export_other_organic_P_kg,kg export / FM dt,0,0,0,const,crop,,
calculated from total export - animal derived export,export_other_organic_K_kg,kg export / FM dt,0,0,0,const,crop,,
yearly precipitation sum taken from climate-data.org,precipitation_sum,mm,848,848,848,const,crop,,
average ackerzahl,ackerzahl,kg ackerzahl / FM dt,60,60,60,const,crop,,
livestock density,livestock_density,LU per ha,1.85,1.85,1.85,const,crop,,
Nährstoffbericht said only larger than 160,fertilization_rate,kg per ha per year,170,170,170,const,crop,,
from unvermeidbare nährstoffverluste,ammonia_loss_rate_fertilizer,kg ammonia / FM dt,0.02,0.02,0.02,const,crop,,
share of groundwater influenced grasslands,share_gorundwater_influenced_grassland,kg share / FM dt,0.1,0.1,0.1,const,crop,,
pauschale ammoniak verluste ackerland,flatrate_ammonia_losses,kg flatrate / FM dt,4,4,4,const,crop,,
Dairy cattle 4,n_slaughter_dairy_cattle,individuals,254,254,254,const,animal,no,2016
Oxes,n_slaughter_oxes,individuals,94,94,94,const,animal,no,2016
Bulls,n_slaughter_bulls,individuals,573,573,573,const,animal,no,2016
Female cattle (before calving),n_slaughter_female_cattle,individuals,1404,1404,1404,const,animal,no,2016
Younstock ≤ 8 months,n_slaughter_younstock_youngage,individuals,177,177,177,const,animal,no,2016
Younstock ≥ 8 and ≤ 12 months 15,n_slaughter_younstock_midage,individuals,28,28,28,const,animal,no,2016
,n_slaughter_pig,individuals,723164,723164,723164,const,animal,no,2016
,n_slaughter_poultry,individuals,1015958,1015958,1015958,const,animal,no,where does this number come from?
,n_slaughter_lamb,individuals,0,0,0,const,animal,no,2016
,n_slaughter_sheep,individuals,2242,2242,2242,const,animal,no,2016
,n_slaughter_goat,individuals,18,18,18,const,animal,no,2016
,n_slaughter_horse,individuals,16,16,16,const,animal,no,2016
,n_slaughter_import_dairy_cattle,individuals,3,3,3,const,animal,no,2016
,n_slaughter_import_oxes,individuals,0,0,0,const,animal,no,2016
,n_slaughter_import_bulls,individuals,0,0,0,const,animal,no,2016
,n_slaughter_import_female_cattle,individuals,0,0,0,const,animal,no,2016
,n_slaughter_import_younstock_youngage,individuals,0,0,0,const,animal,no,2016
,n_slaughter_import_younstock_midage,individuals,0,0,0,const,animal,no,2016
,n_slaughter_import_pig,individuals,142865,142865,142865,const,animal,no,2016
,n_slaughter_import_poultry,individuals,0,0,0,const,animal,no,2016
,n_slaughter_import_lamb,individuals,0,0,0,const,animal,no,2016
,n_slaughter_import_sheep,individuals,0,0,0,const,animal,no,2016
,n_slaughter_import_goat,individuals,0,0,0,const,animal,no,2016
,n_slaughter_import_horse,individuals,0,0,0,const,animal,no,2016
Dairy cattle 4,slaughter_weight_dairy_cattle,kg,290.8940106,290.8940106,290.8940106,const,animal,,
Oxes,slaughter_weight_oxes,kg,340.1609364,340.1609364,340.1609364,const,animal,,
Bulls,slaughter_weight_bulls,kg,401.1475436,401.1475436,401.1475436,const,animal,,
Female cattle (before calving),slaughter_weight_female_cattle,kg,271.1563536,271.1563536,271.1563536,const,animal,,
Younstock ≤ 8 months,slaughter_weight_younstock_youngage,kg,151.0706973,151.0706973,151.0706973,const,animal,,
Younstock ≥ 8 and ≤ 12 months 15,slaughter_weight_younstock_midage,kg,176.4484928,176.4484928,176.4484928,const,animal,,
,slaughter_weight_pig,kg,96.3031742,96.3031742,96.3031742,const,animal,,
,slaughter_weight_poultry,kg,2,2,2,const,animal,,
