comment,uncertainty.level,description,variable,unit,lower,median,upper,distribution,subsystem,ranges_from_excel,version
,2,arable land in ha,arable_land,share of total agricultural area,49585,49585,49585,const,crop,no,2020
is this manure,3,taken IT.NRW for 2016,n_dairy_cow_2016,individuals,51114.6,56794,62473.4,posnorm,animal,,
,2,,LLU_pig_2016,livestock units,39083.95,41141,43198.05,posnorm,animal,no,2020
,2,,LLU_pig_2020,livestock units,36763.1,38698,40632.9,posnorm,animal,no,2020
,3,Regionalstatistik 2016,n_heifer_2016,individuals,36754.2,40838,44921.8,posnorm,animal,,
,2,fresh mass municipal organic waste,ofmsw_local,ton,29064.3,30594,32123.7,posnorm,waste,,2020
,2,,area_grassland,kg area / FM dt,21774,21774,21774,const,crop,no,2020
,2,fresh matter compost to export,compost_to_export,ton,22023.85,23183,24342.15,posnorm,waste,,2020
,2,fresh mass of municipal organic waste imported,ofmsw_import,?,21945,23100,24255,posnorm,waste,,2020
,3,Regionalstatistik 2016,n_calf_2016,individuals,21962.7,24403,26843.3,posnorm,animal,,
,2,fresh matter compost to horticulture,compost_to_horticulture,ton,9630.15,10137,10643.85,posnorm,waste,,2020
,2,green waste local,green_waste_local,ton,8346.7,8786,9225.3,posnorm,waste,,2020
,1,calculated based on cow number and milk output,milk_per_cow,kg per cow ,7594.686,7671.4,7748.114,posnorm,animal,,
,3,Regionalstatistik 2016,n_bull_2016,individuals,6651.9,7391,8130.1,posnorm,animal,,
,2,,LLU_poultry_2016,livestock units,6346.95,6681,7015.05,posnorm,animal,no,2020
,2,,LLU_others_2016,livestock units,6234.85,6563,6891.15,posnorm,animal,no,2020
,2,,LLU_poultry_2020,livestock units,5799.75,6105,6410.25,posnorm,animal,no,2020
,2,green waste import,green_waste_import,ton,5545.15,5837,6128.85,posnorm,waste,,2020
,2,,LLU_others_2020,livestock units,5545.15,5837,6128.85,posnorm,animal,no,2020
,3,,n_sheep_2016,individuals,5508.9,6121,6733.1,posnorm,animal,,
,3,grey bin food waste,grey_bin_food_waste,ton,3901.5,4335,4768.5,posnorm,waste,,2020
,2,horticultural area,land_horticulture_ha,kg land / FM dt,2790,2790,2790,const,crop,no,unchanged
,3,,n_slaughter_sheep,individuals,1976.4,2196,2415.6,posnorm,animal,no,2020
,3,Female cattle (before calving),n_slaughter_female_cattle,individuals,1093.5,1215,1336.5,posnorm,animal,no,2020
,3,grey bin garden waste,grey_bin_garden_waste,ton,1036.8,1152,1267.2,posnorm,waste,,2020
,2,fresh matter compost to consumption,compost_to_consumption,ton,9630.15,10137,10643.85,posnorm,waste,,
,3,digestate density,digestate_density,kg per m3,884.7,983,1081.3,posnorm,waste,,
,3,yearly precipitation sum taken from climate-data.org,precipitation_sum,mm,848,848,848,const,crop,,unchanged
,1,,K_content_parsley_gr_100gr,mg K / 100 g product,802.89,811,819.11,posnorm,crop,no,unchanged
,1,Sugar beet 4,yield_sugar_beet,dt / ha,735.57,743,750.43,posnorm,crop,no,2020
,1,cabbage,yield_cabbage_dt_ha,kg yield / FM dt,698.247,705.3,712.353,posnorm,crop,no,unchanged
,1,carrot,yield_carrot_dt_ha,kg yield / FM dt,592.911,598.9,604.889,posnorm,crop,no,unchanged
,1,veggie_peas,land_veggie_peas_ha,kg land / FM dt,584.1,590,595.9,posnorm,crop,no,unchanged
,1,,K_content_spinash_gr_100gr,mg K / 100 g product,548.46,554,559.54,posnorm,crop,no,unchanged
,1,Potato 3,yield_potato,dt / ha,515.79,521,526.21,posnorm,crop,no,2020
,1,radishes,yield_radishes_dt_ha,kg yield / FM dt,514.602,519.8,524.998,posnorm,crop,no,unchanged
,1,onion,yield_onion_dt_ha,kg yield / FM dt,510.147,515.3,520.453,posnorm,crop,no,unchanged
,3,,n_slaughter_import_dairy_cattle,individuals,435.6,484,532.4,posnorm,animal,no,2020
,3,Bulls,n_slaughter_bulls,individuals,431.1,479,526.9,posnorm,animal,no,2020
,2,,import_inorganic_K2O_t,t,446.5,470,493.5,posnorm,crop,no,2020
,1,celery,yield_celery_dt_ha,kg yield / FM dt,434.412,438.8,443.188,posnorm,crop,no,unchanged
,1,,K_content_lambs_lettuce_gr_100gr,mg K / 100 g product,416.79,421,425.21,posnorm,crop,no,unchanged
,1,Mais silage 5,yield_mais_silage,dt /ha,409.86,414,418.14,posnorm,crop,no,2020
,1,,K_content_radishes_gr_100gr,mg K / 100 g product,402.93,407,411.07,posnorm,crop,no,unchanged
,3,Bulls,slaughter_weight_bulls,kg,360.9,401,441.1,posnorm,animal,,unchanged
,1,,K_content_arugula_gr_100gr,mg K / 100 g product,365.31,369,372.69,posnorm,crop,no,unchanged
,1,pumpkin,yield_pumpkin_dt_ha,kg yield / FM dt,356.796,360.4,364.004,posnorm,crop,no,unchanged
,1,lettuce,yield_lettuce_dt_ha,kg yield / FM dt,350.856,354.4,357.944,posnorm,crop,no,unchanged
,1,carrot,land_carrot_ha,kg land / FM dt,336.6,340,343.4,posnorm,crop,no,unchanged
,3,Oxes,slaughter_weight_oxes,kg,306,340,374,posnorm,animal,,unchanged
,1,,K_content_celery_gr_100gr,mg K / 100 g product,325.71,329,332.29,posnorm,crop,no,unchanged
,1,,K_content_carrot_gr_100gr,mg K / 100 g product,324.72,328,331.28,posnorm,crop,no,unchanged
,1,lettuce,land_lettuce_ha,kg land / FM dt,316.8,320,323.2,posnorm,crop,no,unchanged
,1,,K_content_pumpkin_gr_100gr,mg K / 100 g product,300.96,304,307.04,posnorm,crop,no,unchanged
,3,Dairy cattle 4,slaughter_weight_dairy_cattle,kg,261.9,291,320.1,posnorm,animal,,unchanged
,1,asparagus,land_asparagus_ha,kg land / FM dt,287.1,290,292.9,posnorm,crop,no,unchanged
,1,,K_content_sweet_corn_gr_100gr,mg K / 100 g product,286.11,289,291.89,posnorm,crop,no,unchanged
,3,egg laying rate (consumable eggs),egg_per_chicken,egg per chicken,259.2,288,316.8,posnorm,animal,no,2020
,1,,K_content_rhubarb_gr_100gr,mg K / 100 g product,284.13,287,289.87,posnorm,crop,no,unchanged
,1,rhubarb,yield_rhubarb_dt_ha,kg yield / FM dt,273.636,276.4,279.164,posnorm,crop,no,unchanged
,3,Female cattle (before calving),slaughter_weight_female_cattle,kg,243.9,271,298.1,posnorm,animal,,unchanged
,3,,K_yield_mowing,kg K2O / FM dt,243,270,297,posnorm,crop,no,unchanged
,1,,K_content_cabbage_gr_100gr,mg K / 100 g product,266.31,269,271.69,posnorm,crop,no,unchanged
,3,Dairy cattle 4,n_slaughter_dairy_cattle,individuals,237.6,264,290.4,posnorm,animal,no,2020
,3,,slaughter_weight_horse,kg,237.6,264,290.4,posnorm,animal,,unchanged
,1,,K_content_berries_gr_100gr,mg K / 100 g product,254.43,257,259.57,posnorm,crop,no,unchanged
,3,apple,yield_apple_dt_ha,kg yield / FM dt,229.5,255,280.5,posnorm,crop,no,unchanged
,1,,K_content_veggie_peas_gr_100gr,mg K / 100 g product,249.48,252,254.52,posnorm,crop,no,unchanged
,3,"silage mowing (max 20% hay), N harvested kg/ha",N_yield_mowing,kg N / FM dt,220.5,245,269.5,posnorm,crop,no,unchanged
,1,spinash,yield_spinash_dt_ha,kg yield / FM dt,224.532,226.8,229.068,posnorm,crop,no,unchanged
,1,,P_content_egg,g P / 100 g,0.2079,0.21,0.2121,posnorm,animal,no,unchanged
,1,,K_content_asparagus_gr_100gr,mg K / 100 g product,200.97,203,205.03,posnorm,crop,no,unchanged
,1,cabbage,land_cabbage_ha,kg land / FM dt,198,200,202,posnorm,crop,no,unchanged
,1,,K_content_lettuce_gr_100gr,mg K / 100 g product,175.23,177,178.77,posnorm,crop,no,unchanged
,3,Younstock ‚â• 8 and ‚â§ 12 months 15,slaughter_weight_younstock_midage,kg,158.4,176,193.6,posnorm,animal,,unchanged
when data from N‰hrstoffbericht,1,N√§hrstoffbericht said only larger than 160,fertilization_rate,kg per ha per year,168.3,170,171.7,posnorm,crop,,unchanged
,1,,K_content_strawberry_gr_100gr,mg K / 100 g product,162.36,164,165.64,posnorm,crop,no,unchanged
,1,,K_content_onion_gr_100gr,mg K / 100 g product,160.38,162,163.62,posnorm,crop,no,unchanged
,3,,consume_coffee,l / person,145.8,162,178.2,posnorm,consumption,,unchanged
,1,,K_content_stone_fruit_gr_100gr,mg K / 100 g product,159.39,161,162.61,posnorm,crop,no,unchanged
,1,onion,land_onion_ha,kg land / FM dt,158.4,160,161.6,posnorm,crop,no,unchanged
,1,,K_content_milk,g K / 100 g,0.15543,0.157,0.15857,posnorm,animal,no,unchanged
,1,green_bean,land_green_bean_ha,kg land / FM dt,153.45,155,156.55,posnorm,crop,no,unchanged
,3,Younstock ‚â§ 8 months,slaughter_weight_younstock_youngage,kg,135.9,151,166.1,posnorm,animal,,unchanged
,1,,K_content_egg,g K / 100 g,0.14553,0.147,0.14847,posnorm,animal,no,unchanged
,1,arugula,yield_arugula_dt_ha,kg yield / FM dt,137.511,138.9,140.289,posnorm,crop,no,unchanged
,1,berries,land_berries_ha,kg land / FM dt,133.65,135,136.35,posnorm,crop,no,unchanged
,3,Younstock ‚â§ 8 months,n_slaughter_younstock_youngage,individuals,118.8,132,145.2,posnorm,animal,no,2020
,3,"grazing, N harvested kg/ha",N_yield_grazing,kg N / FM dt,117,130,143,posnorm,crop,no,unchanged
,1,berries,yield_berries_dt_ha,kg yield / FM dt,123.75,125,126.25,posnorm,crop,no,unchanged
,1,Corn mais 2,yield_corn,dt / ha,118.701,119.9,121.099,posnorm,crop,no,2020
,1,,K_content_apple_gr_100gr,mg K / 100 g product,117.81,119,120.19,posnorm,crop,no,unchanged
,1,,P_content_veggie_peas_gr_100gr,mg P / 100 g product,116.82,118,119.18,posnorm,crop,no,unchanged
,1,green_bean,yield_green_bean_dt_ha,kg yield / FM dt,116.622,117.8,118.978,posnorm,crop,no,unchanged
,2,import of inorganic fertilizer based on the ha,import_inorganic_N_kg_LF,kg per LF,75.78,84.2,92.62,posnorm,crop,yes,2020
,1,lambs_lettuce,yield_lambs_lettuce_dt_ha,kg yield / FM dt,110.979,112.1,113.221,posnorm,crop,no,unchanged
"N‰hrstoffbericht 2017, Table 1, p.25",4,"N excretion per ""Stellpletz"" and year",N_excretion_dairy,kg N / animal / year,91.44,114.3,137.16,posnorm,animal,,
,1,celery,land_celery_ha,kg land / FM dt,103.95,105,106.05,posnorm,crop,no,unchanged
,1,lambs_lettuce,land_lambs_lettuce_ha,kg land / FM dt,99,100,101,posnorm,crop,no,unchanged
,3,,consume_vegetables,kg / person / year,88.65,98.5,108.35,posnorm,consumption,,unchanged
,1,strawberry,yield_strawberry_dt_ha,kg yield / FM dt,96.03,97,97.97,posnorm,crop,no,unchanged
,1,stone_fruit,yield_stone_fruit_dt_ha,kg yield / FM dt,96.03,97,97.97,posnorm,crop,no,unchanged
,3,,slaughter_weight_pig,kg,86.4,96,105.6,posnorm,animal,,unchanged
,3,,consume_beer,l / person,84.6,94,103.4,posnorm,consumption,,unchanged
,1,sweet_corn,yield_sweet_corn_dt_ha,kg yield / FM dt,92.961,93.9,94.839,posnorm,crop,no,unchanged
,1,,P_content_milk,g P / 100 g,0.09108,0.092,0.09292,posnorm,animal,no,unchanged
,3,,P_yield_mowing,kg P2O5 / FM dt,81,90,99,posnorm,crop,no,unchanged
,1,pumpkin,land_pumpkin_ha,kg land / FM dt,89.1,90,90.9,posnorm,crop,no,unchanged
,1,,P_content_parsley_gr_100gr,mg P / 100 g product,86.13,87,87.87,posnorm,crop,no,unchanged
,3,fresh milk products,consume_milk,kg / person / year,75.51,83.9,92.29,posnorm,consumption,,unchanged
,1,,P_content_sweet_corn_gr_100gr,mg P / 100 g product,82.17,83,83.83,posnorm,crop,no,unchanged
,1,Winter wheat,yield_winter_wheat,dt / ha,79.695,80.5,81.305,posnorm,crop,no,2020
,1,Winter barley (gerste),yield_winter_barley,dt / ha,75.24,76,76.76,posnorm,crop,no,2020
,2,N content waste warer,N_content_wastewater,mg N per L,66.025,69.5,72.975,posnorm,waste,no,unchanged
,3,,consume_tree_fruits,kg / person / year,59.13,65.7,72.27,posnorm,consumption,,unchanged
,3,,consume_wheat,kg / person / year,58.5,65,71.5,posnorm,consumption,,unchanged
,1,veggie_peas,yield_veggie_peas_dt_ha,kg yield / FM dt,62.568,63.2,63.832,posnorm,crop,no,unchanged
,1,Triticale,yield_triticale,dt / ha,59.796,60.4,61.004,posnorm,crop,no,2020
,3,weight of average egg,egg-weight,g,56.61,62.9,69.19,posnorm,animal,no,unchanged
,1,Summer barley,yield_summer_barley,dt / ha,58.014,58.6,59.186,posnorm,crop,no,2020
,3,,consume_potato,kg / person / year,52.11,57.9,63.69,posnorm,consumption,,unchanged
,1,strawberry,land_strawberry_ha,kg land / FM dt,54.45,55,55.55,posnorm,crop,no,unchanged
converstion from liter per person to kg per person,3,,convert_coffee,g per liter,55,55,55,const,consumption,,unchanged
,1,Summer wheat (weizen),yield_summer_wheat,dt / ha,53.064,53.6,54.136,posnorm,crop,no,2020
,3,,consume_herb_tea,l / person,48.06,53.4,58.74,posnorm,consumption,,unchanged
,3,pork meat,consume_pork,kg / person / year,45.09,50.1,55.11,posnorm,consumption,,unchanged
,1,arugula,land_arugula_ha,kg land / FM dt,49.5,50,50.5,posnorm,crop,no,unchanged
,1,apple,land_apple_ha,kg land / FM dt,49.5,50,50.5,posnorm,crop,no,unchanged
,1,,P_content_lambs_lettuce_gr_100gr,mg P / 100 g product,48.51,49,49.49,posnorm,crop,no,unchanged
,1,Fodder peas (erbsen),yield_fodder_peas,dt / ha,47.718,48.2,48.682,posnorm,crop,no,2020
"N‰hrstoffbericht 2017, Table 1, p.25",4,,N_excretion_heifer,kg N / animal / year,40.8,51,61.2,posnorm,animal,,
,1,,P_content_celery_gr_100gr,mg P / 100 g product,47.52,48,48.48,posnorm,crop,no,unchanged
,3,Oxes,n_slaughter_oxes,individuals,42.3,47,51.7,posnorm,animal,no,2020
,1,,P_content_spinash_gr_100gr,mg P / 100 g product,45.54,46,46.46,posnorm,crop,no,unchanged
"N‰hrstoffbericht 2017, Table 1, p.25",4,,N_excretion_bull,kg N / animal / year,37.6,47,56.4,posnorm,animal,,
,1,,P_content_pumpkin_gr_100gr,mg P / 100 g product,43.56,44,44.44,posnorm,crop,no,unchanged
,1,,P_content_radishes_gr_100gr,mg P / 100 g product,43.56,44,44.44,posnorm,crop,no,unchanged
,1,,P_content_asparagus_gr_100gr,mg P / 100 g product,43.56,44,44.44,posnorm,crop,no,unchanged
,1,Common oat (hafer),yield_oat,dt / ha,40.689,41.1,41.511,posnorm,crop,no,2020
,1,spinash,land_spinash_ha,kg land / FM dt,39.6,40,40.4,posnorm,crop,no,unchanged
,1,radishes,land_radishes_ha,kg land / FM dt,39.6,40,40.4,posnorm,crop,no,unchanged
,1,winter koolzaad (raps),yield_oilseed_rape,dt / ha,39.303,39.7,40.097,posnorm,crop,no,2020
,1,Rye (rogge),yield_rye,dt / ha,38.214,38.6,38.986,posnorm,crop,no,2020
,3,,consume_citrus_fruits,kg / person / year,32.85,36.5,40.15,posnorm,consumption,,unchanged
,1,,P_content_cabbage_gr_100gr,mg P / 100 g product,35.64,36,36.36,posnorm,crop,no,unchanged
,1,,P_content_carrot_gr_100gr,mg P / 100 g product,35.64,36,36.36,posnorm,crop,no,unchanged
,1,Beans (ackerbohnen),yield_beans,dt / ha,34.749,35.1,35.451,posnorm,crop,no,2020
,3,,consume_sugar,kg / person / year,30.6,34,37.4,posnorm,consumption,,unchanged
,1,,P_content_onion_gr_100gr,mg P / 100 g product,32.67,33,33.33,posnorm,crop,no,unchanged
,3,,K_content_wastewater,mg K per L,28.8,32,35.2,posnorm,waste,no,unchanged
,3,,slaughter_weight_sheep,kg,27,30,33,posnorm,animal,,unchanged
,1,asparagus,yield_asparagus_dt_ha,kg yield / FM dt,28.512,28.8,29.088,posnorm,crop,no,unchanged
,1,,P_content_berries_gr_100gr,mg P / 100 g product,26.73,27,27.27,posnorm,crop,no,unchanged
,3,,consume_black_tea,l / person,23.76,26.4,29.04,posnorm,consumption,,unchanged
,1,parsley,land_parsley_ha,kg land / FM dt,24.75,25,25.25,posnorm,crop,no,unchanged
,1,,P_content_strawberry_gr_100gr,mg P / 100 g product,24.75,25,25.25,posnorm,crop,no,unchanged
,3,cheese incl. Cheese spread (product weight),consume_cheese,kg / person / year,22.23,24.7,27.17,posnorm,consumption,,unchanged
,1,,P_content_lettuce_gr_100gr,mg P / 100 g product,22.77,23,23.23,posnorm,crop,no,unchanged
,1,,P_content_rhubarb_gr_100gr,mg P / 100 g product,21.78,22,22.22,posnorm,crop,no,unchanged
,1,parsley,yield_parsley_dt_ha,kg yield / FM dt,20.79,21,21.21,posnorm,crop,no,unchanged
,3,,n_slaughter_goat,individuals,18.9,21,23.1,posnorm,animal,no,2020
,3,poultry,consume_poultry,kg / person / year,18.81,20.9,22.99,posnorm,consumption,,unchanged
,1,stone_fruit,land_stone_fruit_ha,kg land / FM dt,19.8,20,20.2,posnorm,crop,no,unchanged
conversion of per litre to per g nutrient concentration,3,,convert_black_tea,g per liter,20,20,20,const,consumption,,unchanged
conversion of per litre to per g nutrient concentration,3,,convert_herb_tea,g per liter,20,20,20,const,consumption,,unchanged
,3,digestate per produced kwel,Kwel_to_digestate,m3 per Kwel,18,20,22,posnorm,waste,,
,1,assumed energy produced by biogas per agricultural used area,lf_to_kwel,KWel per 100 LF,20.79,21,21.21,posnorm,waste,,
,3,,n_slaughter_horse,individuals,16.2,18,19.8,posnorm,animal,no,2020
,3,,slaughter_weight_lamb,kg,16.2,18,19.8,posnorm,animal,,unchanged
,3,,slaughter_weight_goat,kg,16.2,18,19.8,posnorm,animal,,unchanged
,3,Younstock ‚â• 8 and ‚â§ 12 months 15,n_slaughter_younstock_midage,individuals,15.3,17,18.7,posnorm,animal,no,2020
"N‰hrstoffbericht 2017, Table 1, p.25",4,,N_excretion_sheep,kg N / animal / year,13.6,17,20.4,posnorm,animal,,
,1,,P_content_stone_fruit_gr_100gr,mg P / 100 g product,15.84,16,16.16,posnorm,crop,no,unchanged
,1,sweet_corn,land_sweet_corn_ha,kg land / FM dt,14.85,15,15.15,posnorm,crop,no,unchanged
"N‰hrstoffbericht 2017, Table 1, p.25",4,,N_exctretion_calf,kg N / animal / year,12,15,18,posnorm,animal,,
"is this dependent on scenario? If not, it is an assumption that all produced digestate remains locally",5,amount of digestate staying in Kleve,N_digestate_kg_ha,kg N / FM dt,10.575,14.1,17.625,posnorm,crop,no,unchanged
,3,fish and fish products (catch weight),consume_fish,kg / person / year,12.69,14.1,15.51,posnorm,consumption,,unchanged
,3,beef and veal,consume_beef,kg / person / year,12.6,14,15.4,posnorm,consumption,,unchanged
,3,egg,consume_egg,kg / person / year,11.88,13.2,14.52,posnorm,consumption,,unchanged
,1,,P_content_apple_gr_100gr,mg P / 100 g product,10.89,11,11.11,posnorm,crop,no,unchanged
,3,,consume_potato_starch,kg / person / year,9.63,10.7,11.77,posnorm,consumption,,unchanged
"N‰hrstoffbericht 2017, Table 1, p.25",4,,N_excretion_pig,kg N / animal / year,8.8,11,13.2,posnorm,animal,,
,1,rhubarb,land_rhubarb_ha,kg land / FM dt,9.9,10,10.1,posnorm,crop,no,unchanged
,2,,P_content_wastewater,mg P per L,9.12,9.6,10.08,posnorm,waste,no,unchanged
,3,,consume_rye,kg / person / year,6.84,7.6,8.36,posnorm,consumption,,unchanged
,3,cream,consume_cream,kg / person / year,5.4,6,6.6,posnorm,consumption,,unchanged
,3,butter (product weight),consume_butter,kg / person / year,5.4,6,6.6,posnorm,consumption,,unchanged
,3,,consume_rice,kg / person / year,4.59,5.1,5.61,posnorm,consumption,,unchanged
,1,,N_content_nuts,g N / 100 gram product,4.7124,4.76,4.8076,posnorm,consumption,,unchanged
,3,,consume_nuts,kg / person / year,4.23,4.7,5.17,posnorm,consumption,,unchanged
,3,digestate N content,digestate_N_content,kg N per t fresh matter,4.14,4.6,5.06,posnorm,waste,,
,1,Beans,N_yield_beans,kg N / FM dt,4.059,4.1,4.141,posnorm,crop,no,unchanged
,1,,N_content_cheese,g N / 100 gram product,3.96,4,4.04,posnorm,consumption,,unchanged
,1,,N_content_black_tea,g N / 100 gram product,3.8808,3.92,3.9592,posnorm,consumption,,unchanged
,1,,N_content_herb_tea,g N / 100 gram product,3.8808,3.92,3.9592,posnorm,consumption,,unchanged
,1,Fodder peas,N_yield_fodder_peas,kg N / FM dt,3.564,3.6,3.636,posnorm,crop,no,unchanged
,3,,consume_cocoa,kg / person / year,3.24,3.6,3.96,posnorm,consumption,,unchanged
,1,,N_content_poultry_meat,g N / 100 gram product,3.5145,3.55,3.5855,posnorm,consumption,,unchanged
,1,,N_content_pork,g N / 100 gram product,3.4848,3.52,3.5552,posnorm,consumption,,unchanged
,3,,consume_sparkling_wine,l / person,3.123,3.47,3.817,posnorm,consumption,,unchanged
,1,,N_content_beef,g N / 100 gram product,3.3561,3.39,3.4239,posnorm,consumption,,unchanged
,1,Oilseed rape,N_yield_oilseed_rape,kg N / FM dt,3.3165,3.35,3.3835,posnorm,crop,no,unchanged
,1,,N_content_other_meat,g N / 100 gram product,3.267,3.3,3.333,posnorm,consumption,,unchanged
,1,,N_content_sheep_meat,g N / 100 gram product,3.2274,3.26,3.2926,posnorm,consumption,,unchanged
,3,,N_content_poultry,gr N / 100 gram product,2.925,3.25,3.575,posnorm,animal,,unchanged
,3,,N_content_horse,gr N / 100 gram product,2.7,3,3.3,posnorm,animal,,unchanged
,3,margarine,consume_margarine,kg / person / year,2.43,2.7,2.97,posnorm,consumption,,unchanged
,1,,N_content_fish,g N / 100 gram product,2.6433,2.67,2.6967,posnorm,consumption,,unchanged
,3,,N_content_male_cattle,gr N / 100 gram product,2.43,2.7,2.97,posnorm,animal,,unchanged
,3,,N_content_sheep,gr N / 100 gram product,2.34,2.6,2.86,posnorm,animal,,unchanged
,3,,N_content_pig,gr N / 100 gram product,2.304,2.56,2.816,posnorm,animal,,unchanged
,1,,N_content_offal,g N / 100 gram product,2.3562,2.38,2.4038,posnorm,consumption,,unchanged
,3,,N_content_female_cattle,gr N / 100 gram product,2.25,2.5,2.75,posnorm,animal,,unchanged
,1,,N_content_coffee,g N / 100 gram product,2.2176,2.24,2.2624,posnorm,consumption,,unchanged
,3,,K_leftover_foder_peas,kg K / FM dt,1.944,2.16,2.376,posnorm,crop,no,unchanged
,3,,K_leftover_beans,kg K / FM dt,1.944,2.16,2.376,posnorm,crop,no,unchanged
,3,,K_leftover_oilseed_rape,kg K / FM dt,1.872,2.08,2.288,posnorm,crop,no,unchanged
,3,,slaughter_weight_poultry,kg,1.8,2,2.2,posnorm,animal,,unchanged
,1,gr N / 100 gram product,N_content_egg,gr N / 100 gram product,1.98,2,2.02,posnorm,animal,no,unchanged
,1,Winter wheat,N_yield_winter_weat,kg N / FM dt,1.7325,1.75,1.7675,posnorm,crop,no,unchanged
,1,Summer wheat,N_yield_summer_weat,kg N / FM dt,1.7325,1.75,1.7675,posnorm,crop,no,unchanged
,3,,P_content_horse,g P2O5 / 100 g,1.566,1.74,1.914,posnorm,animal,,unchanged
,1,Winter barley,N_yield_winter_barley,kg N / FM dt,1.7028,1.72,1.7372,posnorm,crop,no,unchanged
,1,Summer barley,N_yield_summer_barley,kg N / FM dt,1.7028,1.72,1.7372,posnorm,crop,no,unchanged
,1,Triticale,N_yield_triticale,kg N / FM dt,1.7028,1.72,1.7372,posnorm,crop,no,unchanged
,3,condensed milk (product weight),consume_condensed_milk,kg / person / year,1.53,1.7,1.87,posnorm,consumption,,unchanged
,1,,N_content_wheat,g N / 100 gram product,1.683,1.7,1.717,posnorm,consumption,,unchanged
,1,,K_content_coffee,g K / 100 gram product,1.63647,1.653,1.66953,posnorm,consumption,no,unchanged
,1,Rye,N_yield_rye,kg N / FM dt,1.5642,1.58,1.5958,posnorm,crop,no,unchanged
,1,Oat,N_yield_oat,kg N / FM dt,1.5642,1.58,1.5958,posnorm,crop,no,unchanged
,3,Fodder peas,N_leftover_foder_peas,kg N / FM dt,1.35,1.5,1.65,posnorm,crop,no,unchanged
,3,Beans,N_leftover_beans,kg N / FM dt,1.35,1.5,1.65,posnorm,crop,no,unchanged
,3,,P_content_male_cattle,g P2O5 / 100 g,1.341,1.49,1.639,posnorm,animal,,unchanged
,1,,K_content_black_tea,g K / 100 gram product,1.4751,1.49,1.5049,posnorm,consumption,no,unchanged
,1,,K_content_herb_tea,g K / 100 gram product,1.4751,1.49,1.5049,posnorm,consumption,no,unchanged
,1,,N_content_cocoa,g N / 100 gram product,1.4553,1.47,1.4847,posnorm,consumption,,unchanged
,1,Corn,N_yield_corn,kg N / FM dt,1.4355,1.45,1.4645,posnorm,crop,no,unchanged
,3,,K_leftover_winter_barley,kg K / FM dt,1.269,1.41,1.551,posnorm,crop,no,unchanged
,3,,K_leftover_summer_barley,kg K / FM dt,1.269,1.41,1.551,posnorm,crop,no,unchanged
,3,,K_leftover_oat,kg K / FM dt,1.269,1.41,1.551,posnorm,crop,no,unchanged
,3,,K_leftover_triticale,kg K / FM dt,1.269,1.41,1.551,posnorm,crop,no,unchanged
,3,,consume_dried_fruit,kg / person / year,1.26,1.4,1.54,posnorm,consumption,,unchanged
,3,,P_content_female_cattle,g P2O5 / 100 g,1.233,1.37,1.507,posnorm,animal,,unchanged
,3,,P_content_sheep,g P2O5 / 100 g,1.233,1.37,1.507,posnorm,animal,,unchanged
